"Region Num","Structure Num","Inspection Date","Span Num","GROUP","Element","Element Num","Position","Material","Element Type","Misc","Data Type","%A","%B","%C","%D","Behaviour","Comments","Inspection ID","Element ID"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 6","Category 20",,"South","Wood-Steel","Type 28","Non","Demo Data","100","0","0","0","4","Nul","112","441"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 11","Category 6",,,,"Type 5",,"Demo Data","50","10","10","30","2","Nul","112","442"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 1","Category 2",,"West",,,,"Demo Data",,,,,"4","Nul","112","443"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 1","Category 2",,"East",,,,"Demo Data",,,,,"4","Nul","112","444"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 1","Category 3",,"West","Wood-Steel","Type 26",,"Demo Data","100","0","0","0","4","Nul","112","445"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 1","Category 3",,"East","Wood-Steel","Type 26",,"Demo Data","100","0","0","0","4","Nul","112","446"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 4","Category 11",,,,,,"Demo Data",,,,,"3","Nul","112","416"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 4","Category 12",,"West",,"Type 13",,"Demo Data",,,,,"3","Nul","112","417"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 4","Category 12",,"East",,"Type 13",,"Demo Data",,,,,"4","Nul","112","418"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 4","Category 10",,"West",,"Type 24",,"Demo Data",,,,,"3","Nul","112","419"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 4","Category 10",,"East",,"Type 24",,"Demo Data",,,,,"4","Nul","112","420"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 5","Category 13","1",,,"Type 10","Roc","Demo Data",,,,,"4","Nul","112","421"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 5","Category 13","2",,,"Type 10","Roc","Demo Data",,,,,"4","Nul","112","422"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 5","Category 14","1",,"Wood",,,"Demo Data","100","0","0","0","4","Nul","112","424"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 5","Category 14","2",,"Wood",,,"Demo Data","85","5","10","0","3","Nul","112","423"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 5","Category 18","1",,"Wood",,,"Demo Data",,,,,"4","Nul","112","426"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 5","Category 18","2",,"Wood",,,"Demo Data",,,,,"3","Nul","112","425"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 5","Category 16","1",,"Wood",,,"Demo Data","60","20","20","0","3","Nul","112","583"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 5","Category 16","2",,"Wood",,,"Demo Data","60","10","30","0","4","Nul","112","584"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 9","Category 28",,,"Wood",,,"Demo Data",,,,,"1","Nul","112","427"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 9","Category 27",,,,"Type 20",,"Demo Data","100","0","0","0","4","Nul","112","428"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 10","Category 4","1",,"Steel","Type 22",,"Demo Data","45","32","22","1","3","Nul","112","429"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 10","Category 4","2",,"Steel","Type 22",,"Demo Data","65","20","10","5","3","Nul","112","430"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 10","Category 4","3",,"Steel","Type 22",,"Demo Data","60","20","10","10","3","Nul","112","436"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 10","Category 4","4",,"Steel","Type 22",,"Demo Data","30","10","27","33","2","Nul","112","431"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 4","Category 11",,,,,,"Demo Data",,,,,"3","Nul","111","416"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 4","Category 12",,"West",,"Type 13",,"Demo Data",,,,,"4","Nul","111","417"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 4","Category 12",,"East",,"Type 13",,"Demo Data",,,,,"4","Nul","111","418"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 4","Category 10",,"West",,"Type 24",,"Demo Data",,,,,"3","Nul","111","419"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 4","Category 10",,"East",,"Type 24",,"Demo Data",,,,,"4","Nul","111","420"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 5","Category 13","1",,,"Type 10","Roc","Demo Data",,,,,"4","Nul","111","421"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 5","Category 13","2",,,"Type 10","Roc","Demo Data",,,,,"4","Nul","111","422"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 5","Category 14","1",,"Wood",,,"Demo Data","100","0","0","0","4","Nul","111","424"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 5","Category 14","2",,"Wood",,,"Demo Data","85","5","10","0","3","Nul","111","423"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 5","Category 18","1",,"Wood",,,"Demo Data",,,,,"4","Nul","111","426"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 5","Category 18","2",,"Wood",,,"Demo Data",,,,,"4","Nul","111","425"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 5","Category 16","1",,"Wood",,,"Demo Data","100","0","0","0","4","Nul","111","583"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 5","Category 16","2",,"Wood",,,"Demo Data","100","0","0","0","4","Nul","111","584"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 9","Category 28",,,"Wood",,,"Demo Data","100","0","0","0","4","Nul","111","427"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 9","Category 27",,,,"Type 20",,"Demo Data","100","0","0","0","4","Nul","111","428"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 10","Category 4","1",,"Steel","Type 22",,"Demo Data","100","0","0","0","4","Nul","111","429"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 10","Category 4","2",,"Steel","Type 22",,"Demo Data","98","2","0","0","4","Nul","111","430"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 10","Category 4","3",,"Steel","Type 22",,"Demo Data","80","20","0","0","4","Nul","111","436"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 10","Category 4","4",,"Steel","Type 22",,"Demo Data","65","35","0","0","3","Nul","111","431"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 10","Category 4","5",,"Steel","Type 22",,"Demo Data","65","35","0","0","3","Nul","111","432"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 10","Category 4","6",,"Steel","Type 22",,"Demo Data","65","35","0","0","3","Nul","111","433"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 10","Category 4","7",,"Steel","Type 22",,"Demo Data","80","20","0","0","4","Nul","111","434"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 10","Category 4","8",,"Steel","Type 22",,"Demo Data","98","2","0","0","4","Nul","111","437"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 10","Category 4","9",,"Steel","Type 22",,"Demo Data","100","0","0","0","4","Nul","111","435"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 2","Category 7",,"North","Wood",,,"Demo Data","100","0","0","0","4","Nul","111","438"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 2","Category 7",,"South","Wood",,,"Demo Data","100","0","0","0","4","Nul","111","439"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 6","Category 20",,"North","Wood-Steel","Type 28","Non","Demo Data","100","0","0","0","4","Nul","111","440"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 6","Category 20",,"South","Wood-Steel","Type 28","Non","Demo Data","100","0","0","0","4","Nul","111","441"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 11","Category 6",,,,"Type 5",,"Demo Data","70","10","10","10","2","Nul","111","442"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 1","Category 2",,"West",,,,"Demo Data",,,,,"4","Nul","111","443"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 1","Category 2",,"East",,,,"Demo Data",,,,,"4","Nul","111","444"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 1","Category 3",,"West","Wood-Steel","Type 26",,"Demo Data","100","0","0","0","4","Nul","111","445"
"23","00001",2008-9-18 0:00:00,"1","Sub-group 1","Category 3",,"East","Wood-Steel","Type 26",,"Demo Data","100","0","0","0","4","Nul","111","446"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 4","Category 11",,,,,,"Demo Data",,,,,"3","Nul","113","416"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 4","Category 12",,"West",,"Type 13",,"Demo Data",,,,,"4","Nul","113","417"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 4","Category 12",,"East",,"Type 13",,"Demo Data",,,,,"4","Nul","112","418"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 4","Category 10",,"West",,"Type 24",,"Demo Data",,,,,"3","Nul","113","419"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 4","Category 10",,"East",,"Type 24",,"Demo Data",,,,,"4","Nul","113","420"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 5","Category 13","1",,,"Type 10","Roc","Demo Data",,,,,"4","Nul","113","421"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 5","Category 13","2",,,"Type 10","Roc","Demo Data",,,,,"4","Nul","113","422"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 5","Category 14","1",,"Wood",,,"Demo Data","100","0","0","0","4","Nul","113","424"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 5","Category 14","2",,"Wood",,,"Demo Data","85","5","10","0","3","Nul","113","423"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 5","Category 18","1",,"Wood",,,"Demo Data",,,,,"4","Nul","113","426"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 5","Category 18","2",,"Wood",,,"Demo Data",,,,,"4","Nul","113","425"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 5","Category 16","1",,"Wood",,,"Demo Data","60","20","20","0","3","Nul","113","583"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 5","Category 16","2",,"Wood",,,"Demo Data","60","10","30","0","4","Nul","113","584"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 9","Category 28",,,"Wood",,,"Demo Data",,,,,"1","Nul","113","427"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 9","Category 27",,,,"Type 20",,"Demo Data","100","0","0","0","4","Nul","113","428"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 10","Category 4","1",,"Steel","Type 22",,"Demo Data","45","32","22","1","3","Nul","113","429"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 10","Category 4","2",,"Steel","Type 22",,"Demo Data","65","20","10","5","2","Nul","113","430"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 10","Category 4","3",,"Steel","Type 22",,"Demo Data","29","20","11","40","2","Nul","113","436"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 10","Category 4","4",,"Steel","Type 22",,"Demo Data","30","10","27","33","2","Nul","113","431"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 10","Category 4","5",,"Steel","Type 22",,"Demo Data","31","10","27","32","2","Nul","113","432"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 10","Category 4","6",,"Steel","Type 22",,"Demo Data","38","12","8","42","2","Nul","113","433"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 10","Category 4","7",,"Steel","Type 22",,"Demo Data","36","20","0","44","2","Nul","113","434"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 10","Category 4","8",,"Steel","Type 22",,"Demo Data","43","32","21","4","3","Nul","113","437"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 10","Category 4","9",,"Steel","Type 22",,"Demo Data","43","54","0","3","4","Nul","113","435"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 2","Category 7",,"North","Wood",,,"Demo Data","100","0","0","0","4","Nul","113","438"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 2","Category 7",,"South","Wood",,,"Demo Data","92","0","0","8","4","Nul","113","439"
"23","00001",2010-4-1 0:00:00,"1","Sub-group 6","Category 20",,"North","Wood-Steel","Type 28","Non","Demo Data","100","0","0","0","4","Nul","113","440"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 10","Category 4","5",,"Steel","Type 22",,"Demo Data","31","10","27","32","2","Nul","113","432"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 10","Category 4","6",,"Steel","Type 22",,"Demo Data","38","12","8","42","2","Nul","113","433"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 10","Category 4","7",,"Steel","Type 22",,"Demo Data","50","30","10","10","3","Nul","113","434"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 10","Category 4","8",,"Steel","Type 22",,"Demo Data","43","32","21","4","3","Nul","113","437"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 10","Category 4","9",,"Steel","Type 22",,"Demo Data","43","57","0","0","4","Nul","113","435"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 2","Category 7",,"North","Wood",,,"Demo Data","100","0","0","0","4","Nul","113","438"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 2","Category 7",,"South","Wood",,,"Demo Data","92","8","0","0","3","Nul","113","439"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 6","Category 20",,"North","Wood-Steel","Type 28","Non","Demo Data","90","10","0","0","4","Nul","113","440"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 6","Category 20",,"South","Wood-Steel","Type 28","Non","Demo Data","90","10","0","0","4","Nul","113","441"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 11","Category 6",,,,"Type 5",,"Demo Data","30","10","10","50","2","Nul","113","442"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 1","Category 2",,"West",,,,"Demo Data",,,,,"3","Nul","113","443"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 1","Category 2",,"East",,,,"Demo Data",,,,,"4","Nul","113","444"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 1","Category 3",,"West","Wood-Steel","Type 26",,"Demo Data","100","0","0","0","3","Nul","113","445"
"23","00001",2012-4-2 0:00:00,"1","Sub-group 1","Category 3",,"East","Wood-Steel","Type 26",,"Demo Data","100","0","0","0","3","Nul","113","446"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 4","Category 11",,,,,,"Demo Data",,,,,"4","Nul","114","416"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 4","Category 12",,"West",,"Type 13",,"Demo Data",,,,,"3","Nul","114","417"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 4","Category 12",,"East",,"Type 13",,"Demo Data",,,,,"4","Nul","114","418"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 4","Category 10",,"West",,"Type 24",,"Demo Data",,,,,"3","Nul","114","419"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 4","Category 10",,"East",,"Type 24",,"Demo Data",,,,,"4","Nul","114","420"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 5","Category 13","1",,,"Type 10","Roc","Demo Data",,,,,"4","Nul","114","421"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 5","Category 13","2",,,"Type 10","Roc","Demo Data",,,,,"1","Nul","114","422"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 5","Category 14","1",,"Wood",,,"Demo Data","63","25","10","2","4","Nul","114","424"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 5","Category 14","2",,"Wood",,,"Demo Data","48","35","15","2","3","Nul","114","423"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 5","Category 18","1",,"Wood",,,"Demo Data",,,,,"4","Nul","114","426"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 5","Category 18","2",,"Wood",,,"Demo Data",,,,,"3","Nul","114","425"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 5","Category 16","1",,"Wood",,,"Demo Data","60","30","10","0","3","Nul","114","583"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 5","Category 16","2",,"Wood",,,"Demo Data","60","10","30","0","4","Nul","114","584"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 9","Category 28",,,"Wood",,,"Demo Data","85","15","0","0","4","Nul","114","427"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 9","Category 27",,,,"Type 20",,"Demo Data","85","15","0","0","4","Nul","114","428"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 10","Category 4","1",,"Steel","Type 22",,"Demo Data","85","15","0","0","1","Nul","114","429"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 10","Category 4","2",,"Steel","Type 22",,"Demo Data","60","15","25","0","1","Nul","114","430"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 10","Category 4","3",,"Steel","Type 22",,"Demo Data","45","15","25","15","1","Nul","114","436"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 10","Category 4","4",,"Steel","Type 22",,"Demo Data","25","10","30","35","1","Nul","114","431"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 10","Category 4","5",,"Steel","Type 22",,"Demo Data","25","10","30","35","1","Nul","114","432"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 10","Category 4","6",,"Steel","Type 22",,"Demo Data","20","25","15","40","1","Nul","114","433"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 10","Category 4","7",,"Steel","Type 22",,"Demo Data","45","15","25","15","1","Nul","114","434"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 10","Category 4","8",,"Steel","Type 22",,"Demo Data","60","15","25","0","1","Nul","114","437"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 10","Category 4","9",,"Steel","Type 22",,"Demo Data","85","15","0","0","1","Nul","114","435"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 2","Category 7",,"North","Wood",,,"Demo Data","100","0","0","0","4","Nul","114","438"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 2","Category 7",,"South","Wood",,,"Demo Data","92","8","0","0","4","Nul","114","439"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 6","Category 20",,"North","Wood-Steel","Type 28","Non","Demo Data","90","10","0","0","4","Nul","114","440"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 10","Category 4","4",,"Steel","Type 22",,"Demo Data","25","10","30","35","1","Nul","115","431"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 10","Category 4","5",,"Steel","Type 22",,"Demo Data","25","10","30","35","1","Nul","115","432"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 10","Category 4","6",,"Steel","Type 22",,"Demo Data","20","25","15","40","1","Nul","115","433"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 10","Category 4","7",,"Steel","Type 22",,"Demo Data","45","15","25","15","1","Nul","115","434"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 10","Category 4","8",,"Steel","Type 22",,"Demo Data","60","15","25","0","1","Nul","115","437"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 10","Category 4","9",,"Steel","Type 22",,"Demo Data","85","15","0","0","1","Nul","115","435"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 2","Category 7",,"North","Wood",,,"Demo Data","100","0","0","0","4","Nul","115","438"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 2","Category 7",,"South","Wood",,,"Demo Data","90","8","0","2","4","Nul","115","439"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 6","Category 20",,"North","Wood-Steel","Type 28","Non","Demo Data","89","10","0","1","4","Nul","115","440"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 6","Category 20",,"South","Wood-Steel","Type 28","Non","Demo Data","89","10","1","0","4","Nul","115","441"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 11","Category 6",,,,"Type 5",,"Demo Data","30","20","20","30","2","Nul","115","442"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 1","Category 2",,"West",,,,"Demo Data",,,,,"3","Nul","115","443"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 1","Category 2",,"East",,,,"Demo Data",,,,,"3","Nul","115","444"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 1","Category 3",,"West","Wood-Steel","Type 26",,"Demo Data","100","0","0","0","1","Nul","115","445"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 1","Category 3",,"East","Wood-Steel","Type 26",,"Demo Data","100","0","0","0","1","Nul","115","446"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 4","Category 11",,,,,,"Demo Data",,,,,"3","Nul","116","416"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 4","Category 12",,"West",,"Type 13",,"Demo Data",,,,,"4","Nul","116","417"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 4","Category 12",,"East",,"Type 13",,"Demo Data",,,,,"4","Nul","116","418"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 4","Category 10",,"West",,"Type 24",,"Demo Data",,,,,"4","Nul","116","419"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 4","Category 10",,"East",,"Type 24",,"Demo Data",,,,,"3","Nul","116","420"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 5","Category 13","1",,,"Type 10","Roc","Demo Data",,,,,"4","Nul","116","421"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 5","Category 13","2",,,"Type 10","Roc","Demo Data",,,,,"3","Nul","116","422"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 5","Category 14","1",,"Wood",,,"Demo Data","68","20","10","2","4","Nul","116","424"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 5","Category 14","2",,"Wood",,,"Demo Data","68","20","10","2","3","Nul","116","423"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 5","Category 18","1",,"Wood",,,"Demo Data",,,,,"4","Nul","116","426"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 5","Category 18","2",,"Wood",,,"Demo Data",,,,,"4","Nul","116","425"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 5","Category 16","1",,"Wood",,,"Demo Data","65","25","10","0","4","Nul","116","583"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 5","Category 16","2",,"Wood",,,"Demo Data","60","25","15","0","4","Nul","116","584"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 9","Category 28",,,"Wood",,,"Demo Data","80","20","0","0","4","Nul","116","427"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 9","Category 27",,,,"Type 20",,"Demo Data","80","20","0","0","4","Nul","116","428"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 10","Category 4","1",,"Steel","Type 22",,"Demo Data","85","10","5","0","4","Nul","116","429"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 10","Category 4","2",,"Steel","Type 22",,"Demo Data","75","15","10","0","3","Nul","116","430"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 10","Category 4","3",,"Steel","Type 22",,"Demo Data","55","15","15","15","2","Nul","116","436"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 10","Category 4","4",,"Steel","Type 22",,"Demo Data","35","25","20","20","1","Nul","116","431"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 10","Category 4","5",,"Steel","Type 22",,"Demo Data","35","25","20","20","1","Nul","116","432"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 10","Category 4","6",,"Steel","Type 22",,"Demo Data","35","25","20","20","1","Nul","116","433"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 10","Category 4","7",,"Steel","Type 22",,"Demo Data","50","20","15","15","2","Nul","116","434"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 10","Category 4","8",,"Steel","Type 22",,"Demo Data","70","15","15","0","3","Nul","116","437"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 10","Category 4","9",,"Steel","Type 22",,"Demo Data","85","10","5","0","4","Nul","116","435"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 2","Category 7",,"North","Wood",,,"Demo Data","90","10","0","0","4","Nul","116","438"
"23","00001",2018-8-30 0:00:00,"1","Sub-group 2","Category 7",,"South","Wood",,,"Demo Data","90","10","0","0","4","Nul","116","439"
